Time,X-Position Left Eye,Y-Position Left Eye,Events in the trial,X-Position Rigth Eye,Y-Position Rigth Eye,Saccades,Pupilsize,Blinks
498,958.799987792969,910.700012207031,0,995.900024414062,911,0,1177,0
499,958.799987792969,911.299987792969,0,995.900024414062,911.5,0,1175,0
500,958.700012207031,912.200012207031,0,995.900024414062,912.400024414062,0,1173,0
501,959,914,0,996.5,913.400024414062,0,1173,0
502,959.200012207031,916.299987792969,0,997.099975585938,914.200012207031,0,1171,0
503,959.400024414062,918.200012207031,0,997.700012207031,915.5,0,1169,0
504,959.299987792969,919.900024414062,0,997.599975585938,917,0,1166,0
505,959.400024414062,922.5,0,997,918.400024414062,0,1165,0
506,960,924.599975585938,0,996.5,919.5,0,1163,0
507,960.5,925.900024414062,0,996.200012207031,920.200012207031,0,1162,0
508,960.900024414062,926.099975585938,0,996.299987792969,920.700012207031,0,1161,0
509,960.900024414062,926.299987792969,0,995.799987792969,920.799987792969,0,1161,0
510,962.099975585938,926.400024414062,0,995.400024414062,920.799987792969,0,1161,0
511,963.400024414062,926.099975585938,0,994.900024414062,920.799987792969,0,1162,0
512,964.599975585938,926.099975585938,0,994.900024414062,921,0,1164,0
513,964.599975585938,926.299987792969,0,994.900024414062,921.099975585938,0,1165,0
514,964.5,926.599975585938,0,994.799987792969,921.099975585938,0,1165,0
515,964.5,926.599975585938,0,994.5,920.900024414062,0,1166,0
516,964.599975585938,925.799987792969,0,993.799987792969,920.799987792969,0,1166,0
517,964.599975585938,924.900024414062,0,993.299987792969,921.099975585938,0,1167,0
518,963.700012207031,924.299987792969,0,993.5,921.200012207031,0,1169,0
519,962.799987792969,924.5,0,994,921.200012207031,0,1170,0
520,962.400024414062,924.599975585938,0,994.5,921.099975585938,0,1171,0
521,963.5,924.599975585938,0,994.200012207031,920.700012207031,0,1170,0
522,964.5,924.5,0,993.799987792969,920.400024414062,0,1170,0
523,964.400024414062,924.5,0,993.5,920.200012207031,0,1171,0
524,963.799987792969,924.799987792969,0,993.799987792969,920.700012207031,0,1173,0
525,963.099975585938,925.099975585938,0,994.299987792969,921.700012207031,0,1175,0
526,963.099975585938,925.400024414062,0,995.299987792969,922.5,0,1177,0
527,963,925.5,0,995.799987792969,923,0,1177,0
528,962.799987792969,925.5,0,996,923,0,1177,0
529,962.700012207031,925,0,995.900024414062,922.799987792969,0,1177,0
530,962.299987792969,924.599975585938,0,995.799987792969,922.5,0,1178,0
531,961.900024414062,924.099975585938,0,995.700012207031,922,0,1179,0
532,961.5,923.799987792969,0,995.599975585938,921.599975585938,0,1180,0
533,961.400024414062,923.599975585938,0,995.5,921.5,0,1181,0
534,961.400024414062,923.900024414062,0,995.599975585938,921.5,0,1181,0
535,961.599975585938,924.299987792969,0,995.799987792969,921.799987792969,0,1182,0
536,961.799987792969,924.700012207031,0,995.900024414062,921.400024414062,0,1182,0
537,962,924.700012207031,0,996.400024414062,920.799987792969,0,1184,0
538,961.700012207031,924.700012207031,0,996.799987792969,920.400024414062,0,1186,0
539,961.599975585938,924.700012207031,0,996.599975585938,920.400024414062,0,1188,0
540,961.799987792969,924.5,0,995.900024414062,920.5,0,1189,0
541,962.299987792969,924.099975585938,0,995.299987792969,920.5,0,1189,0
542,961.799987792969,923.900024414062,0,995.400024414062,920.799987792969,0,1190,0
543,961.200012207031,923.700012207031,0,995.700012207031,921.099975585938,0,1190,0
544,961,924.299987792969,0,995.900024414062,921.299987792969,0,1190,0
545,961.5,924.799987792969,0,996,921,0,1190,0
546,961.5,925.299987792969,0,996,920.700012207031,0,1191,0
547,961,925.400024414062,0,995.700012207031,920.5,0,1191,0
548,960.5,925.5,0,995.299987792969,920.400024414062,0,1191,0
549,960.099975585938,925.5,0,994.599975585938,920.099975585938,0,1191,0
550,959.599975585938,925.299987792969,0,994.200012207031,919.799987792969,0,1191,0
551,959.099975585938,924.900024414062,0,994,919.5,0,1191,0
552,959.099975585938,924.400024414062,0,994.099975585938,919.599975585938,0,1190,0
553,959,924.099975585938,0,994.400024414062,919.700012207031,0,1190,0
554,958.700012207031,924.200012207031,0,994.400024414062,919.900024414062,0,1190,0
555,958,924.200012207031,0,994.099975585938,920,0,1191,0
556,957,924.099975585938,0,994,920,0,1193,0
557,956.099975585938,923.700012207031,0,994,919.900024414062,0,1195,0
558,955.900024414062,923.099975585938,0,994,919.799987792969,0,1197,0
559,956.200012207031,922.599975585938,0,993.900024414062,919.799987792969,0,1197,0
560,956.400024414062,922.299987792969,0,994,920.299987792969,0,1197,0
561,956.5,922.299987792969,0,994,920.799987792969,0,1197,0
562,956.599975585938,923,0,994,921,0,1198,0
563,956.599975585938,923.700012207031,0,994,920.799987792969,0,1198,0
564,956.599975585938,923.900024414062,0,994.299987792969,920.599975585938,0,1200,0
565,956,923.400024414062,0,994.599975585938,920.400024414062,0,1201,0
566,955.400024414062,922.700012207031,0,994.799987792969,920.099975585938,0,1201,0
567,954.799987792969,922.299987792969,0,994.799987792969,919.700012207031,0,1201,0
568,954.700012207031,922,0,994.700012207031,918.700012207031,0,1201,0
569,954.900024414062,922.099975585938,0,993.900024414062,917.599975585938,0,1202,0
570,955.299987792969,922.900024414062,0,993.099975585938,916.5,0,1201,0
571,955.400024414062,923.599975585938,0,992.200012207031,916.400024414062,0,1202,0
572,955.5,924,0,992,916.799987792969,0,1202,0
573,955.599975585938,923.900024414062,0,991.799987792969,917.400024414062,0,1202,0
574,956,924.099975585938,0,992,917.900024414062,0,1200,0
575,956.400024414062,924.400024414062,0,992.200012207031,917.799987792969,0,1199,0
576,956.400024414062,924.299987792969,0,992.5,917.799987792969,0,1198,0
577,956.200012207031,924,0,992.400024414062,917.799987792969,0,1197,0
578,956.099975585938,923.900024414062,0,991.900024414062,917.700012207031,0,1198,0
579,956,924.299987792969,0,991.400024414062,917.599975585938,0,1199,0
580,956.299987792969,924.799987792969,0,991.200012207031,917.799987792969,0,1201,0
581,956.5,925,0,991.700012207031,918,0,1202,0
582,956.799987792969,925.200012207031,0,992.099975585938,918.099975585938,0,1202,0
583,957.200012207031,925.299987792969,0,992.5,918,0,1202,0
584,958,925.400024414062,0,992.700012207031,918.200012207031,0,1205,0
585,959.099975585938,926.099975585938,0,992.900024414062,918.5,0,1208,0
586,960.400024414062,926.799987792969,0,992.900024414062,918.799987792969,0,1212,0
587,961.200012207031,926.299987792969,0,993,919,0,1213,0
588,961,925.200012207031,0,992.5,919.099975585938,0,1212,0
589,960.5,924.200012207031,0,992,918.900024414062,0,1211,0
590,960.099975585938,924.700012207031,0,991.5,918.700012207031,0,1209,0
591,960.400024414062,925.400024414062,0,991.5,918.299987792969,0,1208,0
592,960.700012207031,926,0,991.599975585938,918,0,1207,0
593,960.599975585938,926.200012207031,0,991.599975585938,917.700012207031,0,1206,0
594,960.400024414062,926.200012207031,0,991.599975585938,917.5,0,1207,0
